date,stage,camera,frame_ms,resolve_ms,build_ms,draw_ms,active,batches,tris,culled
2026-07-03,baseline,aerial,69.16,42.66,3.88,1.97,40179,299,11961477,0
2026-07-03,baseline,corner,66.95,43.12,4.09,1.84,34728,311,10841023,0
2026-07-03,baseline,midfield,65.16,41.93,4.06,1.54,26476,260,8227011,0
2026-07-03,baseline,far,69.83,44.85,4.04,1.85,35800,317,11157995,0
2026-07-03,baseline,empty,66.27,43.68,16.88,0.02,0,0,0,42416
2026-07-03,stage1-O2,aerial,31.27,7.86,3.06,1.70,40179,299,11961477,0
2026-07-03,stage1-O2,corner,31.08,7.77,3.11,1.83,34728,311,10841023,0
2026-07-03,stage1-O2,midfield,29.32,7.81,3.10,1.68,26476,260,8227011,0
2026-07-03,stage1-O2,far,32.55,7.68,3.11,1.92,35800,317,11157995,0
2026-07-03,stage1-O2,empty,17.76,8.08,4.29,0.02,0,0,0,42416
2026-07-03,stage1,aerial,274.08,4.46,0.78,4.52,40179,299,11961477,0
2026-07-03,stage1,corner,22.51,4.15,0.73,1.53,34728,311,10841023,0
2026-07-03,stage1,midfield,23.92,4.46,0.66,1.47,26476,260,8227011,0
2026-07-03,stage1,far,27.08,4.12,0.70,1.60,35800,317,11157995,0
2026-07-03,stage1,empty,16.67,4.66,0.42,0.02,0,0,0,0
2026-07-03,stage2,aerial,28.57,5.28,1.11,2.19,40179,333,11011191,0
2026-07-03,stage2,corner,25.16,5.52,1.18,2.30,34728,397,10027811,0
2026-07-03,stage2,midfield,23.33,4.72,0.94,1.88,26476,346,7596757,0
2026-07-03,stage2,far,25.78,4.99,1.09,2.34,35800,400,10316931,0
2026-07-03,stage2,empty,16.67,5.35,0.44,0.02,0,0,0,0
2026-07-03,stage3,aerial,31.17,5.24,0.99,2.23,40179,333,11011191,0
2026-07-03,stage3,corner,26.95,4.87,1.03,2.12,34728,397,10027811,0
2026-07-03,stage3,midfield,23.08,4.89,0.88,1.84,26476,346,7596757,0
2026-07-03,stage3,far,26.37,4.81,0.97,2.32,35800,400,10316931,0
2026-07-03,stage3,empty,16.67,5.12,0.42,0.02,0,0,0,0
2026-07-04,gpucull-stage1,aerial,4171.97,3.83,3816.84,18.03,40179,0,11015221,0
2026-07-04,gpucull-stage1,corner,4135.04,3.88,3790.04,23.56,34728,0,10030195,0
2026-07-04,gpucull-stage1,midfield,3943.49,3.94,3789.75,15.64,26476,0,7598999,0
2026-07-04,gpucull-stage1,far,3866.24,3.83,3794.20,20.79,35800,0,10319373,0
2026-07-04,gpucull-stage1,empty,3776.64,4.08,3810.29,0.02,0,0,0,0
2026-07-04,gpucull-stage2,aerial,29.13,3.99,2.62,4.89,40047,0,11015221,1108
2026-07-04,gpucull-stage2,corner,29.16,4.21,2.86,6.35,42096,0,10030195,8608
2026-07-04,gpucull-stage2,midfield,26.81,4.02,2.55,5.52,42675,0,7598999,17439
2026-07-04,gpucull-stage2,far,28.25,3.91,2.47,4.82,42037,0,10319373,7477
2026-07-04,gpucull-stage2,empty,22.57,3.87,2.50,3.15,41176,0,0,42416
